threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
23.7,23.7,742,244,172,19,307,0.561,0.443,0.901,0.672,0.314
24.2,24.2,742,220,178,13,331,0.536,0.399,0.932,0.666,0.312
0.924,0.924,742,545,32,159,6,0.778,0.989,0.168,0.578,0.311
1.006,1.006,742,544,33,158,7,0.778,0.987,0.173,0.58,0.31
23.4,23.4,742,262,166,25,289,0.577,0.475,0.869,0.672,0.309
23.1,23.1,742,281,160,31,270,0.594,0.51,0.838,0.674,0.308
0.916,0.916,742,545,31,160,6,0.776,0.989,0.162,0.576,0.304
24.6,24.6,742,193,183,8,358,0.507,0.35,0.958,0.654,0.303
23.2,23.2,742,276,160,31,275,0.588,0.501,0.838,0.669,0.301
24.3,24.3,742,212,178,13,339,0.526,0.385,0.932,0.658,0.301
24.4,24.4,742,206,179,12,345,0.519,0.374,0.937,0.656,0.299
0.842,0.842,742,545,30,161,6,0.775,0.989,0.157,0.573,0.297
24.7,24.7,742,183,184,7,368,0.495,0.332,0.963,0.648,0.296
24.5,24.5,742,198,180,11,353,0.509,0.359,0.942,0.651,0.293
0.757,0.757,742,546,28,163,5,0.774,0.991,0.147,0.569,0.292
0.832,0.832,742,545,29,162,6,0.774,0.989,0.152,0.57,0.291
24.8,24.8,742,176,184,7,375,0.485,0.319,0.963,0.641,0.287
0.738,0.738,742,546,27,164,5,0.772,0.991,0.141,0.566,0.285
0.807,0.807,742,545,28,163,6,0.772,0.989,0.147,0.568,0.284
0.594,0.594,742,548,24,167,3,0.771,0.995,0.126,0.56,0.281
0.683,0.683,742,547,25,166,4,0.771,0.993,0.131,0.562,0.279
0.715,0.715,742,546,26,165,5,0.771,0.991,0.136,0.564,0.278
25,25,742,161,185,6,390,0.466,0.292,0.969,0.63,0.273
0.593,0.593,742,548,23,168,3,0.77,0.995,0.12,0.557,0.273
0.662,0.662,742,547,24,167,4,0.77,0.993,0.126,0.559,0.272
24.9,24.9,742,164,184,7,387,0.469,0.298,0.963,0.63,0.271
25.2,25.2,742,149,187,4,402,0.453,0.27,0.979,0.625,0.27
0.707,0.707,742,546,25,166,5,0.77,0.991,0.131,0.561,0.27
25.3,25.3,742,142,188,3,409,0.445,0.258,0.984,0.621,0.267
0.54,0.54,742,548,22,169,3,0.768,0.995,0.115,0.555,0.266
25.1,25.1,742,155,185,6,396,0.458,0.281,0.969,0.625,0.265
25.4,25.4,742,139,188,3,412,0.441,0.252,0.984,0.618,0.263
0.531,0.531,742,548,21,170,3,0.767,0.995,0.11,0.552,0.258
25.5,25.5,742,131,188,3,420,0.43,0.238,0.984,0.611,0.252
0.521,0.521,742,548,20,171,3,0.765,0.995,0.105,0.55,0.25
25.6,25.6,742,128,188,3,423,0.426,0.232,0.984,0.608,0.248
25.7,25.7,742,124,188,3,427,0.42,0.225,0.984,0.605,0.243
0.499,0.499,742,548,19,172,3,0.764,0.995,0.099,0.547,0.242
25.8,25.8,742,120,188,3,431,0.415,0.218,0.984,0.601,0.238
0.48,0.48,742,548,18,173,3,0.763,0.995,0.094,0.544,0.234
25.9,25.9,742,115,188,3,436,0.408,0.209,0.984,0.597,0.231
26,26,742,108,188,3,443,0.399,0.196,0.984,0.59,0.221
0.472,0.472,742,548,16,175,3,0.76,0.995,0.084,0.539,0.217
26.1,26.1,742,103,188,3,448,0.392,0.187,0.984,0.586,0.214
26.2,26.2,742,99,188,3,452,0.387,0.18,0.984,0.582,0.208
0.37,0.37,742,548,15,176,3,0.759,0.995,0.079,0.537,0.208
26.4,26.4,742,97,188,3,454,0.384,0.176,0.984,0.58,0.205
26.9,26.9,742,86,190,1,465,0.372,0.156,0.995,0.575,0.205
26.7,26.7,742,91,189,2,460,0.377,0.165,0.99,0.577,0.204
26.5,26.5,742,95,188,3,456,0.381,0.172,0.984,0.578,0.202
27.1,27.1,742,84,190,1,467,0.369,0.152,0.995,0.574,0.202
27.3,27.3,742,83,190,1,468,0.368,0.151,0.995,0.573,0.201
26.8,26.8,742,88,189,2,463,0.373,0.16,0.99,0.575,0.2
26.6,26.6,742,93,188,3,458,0.379,0.169,0.984,0.577,0.199
27.4,27.4,742,82,190,1,469,0.367,0.149,0.995,0.572,0.199
0.333,0.333,742,548,14,177,3,0.757,0.995,0.073,0.534,0.198
28.4,28.4,742,80,190,1,471,0.364,0.145,0.995,0.57,0.196
28.5,28.5,742,79,190,1,472,0.363,0.143,0.995,0.569,0.195
28.8,28.8,742,78,190,1,473,0.361,0.142,0.995,0.568,0.193
29.3,29.3,742,77,190,1,474,0.36,0.14,0.995,0.567,0.192
